"題號","官方答案","題目核心觀念","正確原因分析"
"1","C","Transformer 的自注意力機制","Transformer 架構的核心在於自注意力（Self-Attention）機制，它允許模型在處理序列時，同時計算文字中所有詞彙之間的關聯權重，突破了傳統 RNN 無法並行運算的瓶頸。"
"2","B","預訓練（Pre-training）的資料本質","大語言模型的預訓練階段，主要是讓模型在未標註（Unlabeled）的大規模海量文本上，透過自我監督學習（Self-Supervised Learning）來內化語言語法與通用常識。"
"3","D","上下文視窗（Context Window）極限","當使用者輸入的文本加上系統歷史對話的總量，超過了該模型所支援的最大上下文視窗上限時，模型會直接發生截斷或拒絕回應的錯誤。"
"4","A","少樣本提示的格式一致性","在 Few-Shot Prompt 中，範例的輸入與輸出格式（如使用特定的符號或標籤）如果保持高度一致，能顯著幫助模型快速抓取預期輸出的結構規律。"
"5","B","提示詞中的角色扮演（Persona）","在提示詞中為模型設定具體的專家身份（如：你是一位資深軟體架構師），能隱式地縮小模型的機率分佈，引導其輸出更具專業深度與特定口吻的內容。"
"6","C","RAG 的向量檢索原理","RAG 系統在檢索階段，是將使用者的提問轉換為向量，並與知識庫中的文本切片向量進行餘弦相似度等數學比對，撈取語義最接近的文本碎片。"
"7","A","知識庫資料更新對 RAG 的影響","當企業的內部規章或產品資訊發生異動時，RAG 架構只需更新向量資料庫中的對應切片，無需重新訓練或微調模型，即可讓 AI 即時掌握最新事實。"
"8","D","全參數微調（Full Fine-Tuning）的代價","全參數微調需要更新模型內部的所有權重參數，雖然對特定領域的適應力極高，但它需要消耗極其龐大的運算資源（GPU 算力與記憶體），且容易產生災難性遺忘。"
"9","B","模型幻覺的緩解策略","要有效降低 LLM 在回答企業業務時的幻覺率，最直接且低成本的作法是在提示詞中限定其只能根據 RAG 檢索出來的參考文本進行回答，若找不到則回答不知道。"
"10","C","解碼策略中的 Top-K 採樣","Top-K 採樣的核心邏輯是強制模型在預測下一個詞時，只從機率最高的前 K 個 Token 中進行篩選與隨機抽樣，直接切除其餘低機率的長尾詞彙。"
"11","A","系統指令與用戶指令的優先權","在多數大語言模型推理設計中，當系統指令（System Prompt）與用戶指令（User Prompt）發生邏輯衝突時，模型架構傾向賦予系統指令更高的約束權限，以維持全局行為邊界。"
"12","B","大模型推理解析的記憶體開銷","LLM 在進行多輪對話生成時，KV Cache（键值快取）技術會隨上下文長度增長而急劇消耗顯示記憶體（VRAM），是決定高併發服務硬體成本的關鍵因素。"
"13","C","RAG 系統中的 Chunk Overlap 作用","在文本切片（Chunking）時設定重疊區域（Overlap），主要目的是為了避免核心知識恰好在切分點被切斷，確保相鄰切片間能完整保留語境與上下文的脈絡。"
"14","D","向量檢索的局限性與短板","純向量搜尋（Vector Search）完全依賴語義相似度，當面對專有名詞、特定產品型號或精確序號（如商品編號 'XYZ-123'）的精確匹配需求時，效果往往不如傳統關鍵字搜尋。"
