"題號","官方答案","題目核心觀念","正確原因分析"
"1","B","RAG 與非結構化分類","面對各企業科目分類規則不同的非結構化單據，RAG 架構能動態提供歷史已正確分類的案例作為參考上下文，顯著提升模型的分類準確率。"
"2","A","流程自動化條件分支","當流程需要依據多重條件（如：同時判定為退費意圖且金額大於 10,000 元）來決定後續走向時，Low-Code 平台必須透過條件分支（Branching / Router）元件實現。"
"3","B","對話歷史與狀態管理","語言模型 API 本質上是無狀態的，若要解決機器人無法記住前文的問題，根本措施是在每次 API 請求中，手動將歷史對話內容（Chat History）一併打包送入模型。"
"4","C","Token 的計費與長度限制","在 LLM 應用中，Token 的數量會直接影響模型的輸入輸出長度與 API 計費，且上下文長度受限於模型可處理的最大 Token 數量上限。"
"5","D","供應商鎖定與轉移風險","長期高度依賴專有格式儲存、匯出功能有限且無標準 API 的封閉式 No-Code 平台，企業未來更換系統時，將因資料與功能難以轉移而高度依賴原平台（Vendor Lock-in）。"
"6","B","跨系統平台整合能力","評估 No-Code/Low-Code 平台與企業現有 ERP 等多系統串接能力時，核心指標是平台是否具備豐富的 API 介接能力、Webhooks 機制與開放式架構。"
"7","B","AI 民主化與共用標準","在維持「AI 民主化」前提下，要改善各部門自行開發導致功能重複、治理困難的亂象，最適當的作法是建立應用開發與模型使用之治理規範與共用標準。"
"8","C","Webhook 事件觸發機制","Webhook 是「由事件觸發、系統主動回應」的機制。「當符合條件的空位釋出時，餐廳依約定方式直接將資訊傳送給你」，最符合此運作邏輯。"
"9","A","No-Code 自動化快速建置","在企業資訊人力極度受限且不具開發能力的情境下，若想在不導入大型系統下快速串接 AI 檢測、通知與報表，使用 No-Code 工具串接並建立自動化流程是最適合的方案。"
"10","C","Low-Code 的極限效能限制","Low-Code 平台底層封裝了通用框架，因此在「50毫秒內完成訊號判斷下單、每秒萬筆高併發」這種毫秒級延遲與超高吞吐量的極限效能場景中，難以進行深度底層優化。"
"11","B","AutoML 的核心優勢","AutoML 能自動完成模型選擇、特徵處理與訓練流程，讓不具技術背景的業務或行銷同仁也能快速建置並上線機器學習模型。"
"12","A","CLIP 多模態匹配機制","CLIP 模型將文字與圖片投影到同一個向量空間中，透過計算兩者向量的餘弦相似度（Cosine Similarity），來衡量文字描述與圖片之間的相符程度。"
"13","D","Vibe Coding 與 Low-Code 差異","Vibe Coding 透過自然語言驅動 AI 生成客製化程式碼，彈性雖高但品質取決於提示詞；Low-Code 則是透過預設元件組合，其上限受限於平台本身功能。"
"14","B","Agentic Coding（自主編碼助理）","像 Claude Code 這類自主工具能直接在環境中讀寫檔案、執行終端機指令（測試/建置），並能自主跨步驟完成修改、測試與版本提交。"
"15","B","強化微調（RFT）在少資料下的優勢","在標註資料極為有限的醫療情境下，RFT 透過獎懲回饋機制（Reward/Punishment）引導模型優化，對大量人工標註資料的依賴度相對較低。"
"16","A","AI Agent（AI 代理）與傳統自動化","傳統系統只能依固定流程執行，而 AI Agent 的關鍵差異在於其能依據任務目標動態決策行動，並具備自主規劃與調整執行策略的能力。"
"17","A","生成式 AI 的法律應用實務","生成式 AI 目前在法律界最成熟的應用是快速爬梳大量相關判例、協助起草合約初稿，並幫律師標記文件中潛在的風險條款。"
"18","D","法律 AI 系統的上下文設計","法律合約與規範具有高度嚴謹性，架構師在設計合約審查系統的上下文時，必須優先保留原文的逐字精確性，不能因過度壓縮而改變法理含意。"
"19","C","RAG 系統的技術本質","這種先從知識庫檢索文件、再丟給模型生成回覆的架構即為 RAG（檢索增強生成），它結合了檢索與生成機制，在本質上仍屬於生成式 AI 應用的範疇。"
"20","D","模型上下文協議（MCP）的應用","當遇到過時 API 導致程式生成失敗時，導入 MCP（Model Context Protocol）工具整合，能讓模型在推理時即時自主存取並整合最新的外部官方文件。"
"21","D","影像生成式 AI 的典型功能","影像生成 AI 擅長物件移除、風格轉換與元素替換；而「自動判斷商品銷售數據並生成分析報表」屬於傳統數據分析與鑑別式 AI 的範疇。"
"22","C","延伸推理型模型的資源控制","對於推理型模型，要在品質與成本間取得平衡，核心設計是依案件複雜度動態設定模型在推理過程中可使用的最大思考資源上限（如 Token 預算）。"
"23","C","Titans 架構的 MAC 機制","在 Memory as Context（MAC）機制下，長期記憶的使用方式是將記憶整理成重點內容，與目前輸入一起提供給模型作為額外的上下文參考。"
"24","C","AI Agent 的核心特性","AI Agent 具備動態規劃、工具調用與策略調整等自主決策能力；而「依提示生成多樣化文本」只是傳統語言模型的基礎生成能力，不具備 Agent 特性。"
"25","D","ReAct（Reason and Act）架構適用情境","ReAct 結合了推理與行動，最適合用於「AI 需自行判斷資訊是否足夠，並能動態調整查詢方向」這種高不確定性、需要多輪自主探索的複雜情境。"
"26","D","思維鏈（CoT）衍生技術","ReAct、Tree-of-Thought 與 Self-consistency 都是基於 CoT 逐步推理或多路徑探索延伸而來；而 Zero-shot Learning（零樣本學習）只是不給範例的提示方式，與 CoT 無關。"
"27","B","Encoder-Decoder 架構作用","在客服系統中，解碼器（Decoder）會根據編碼器（Encoder）的語義表示，並結合先前已生成的內容，以自迴歸的方式逐詞產生回覆。"
"28","D","提示詞注入攻擊（Prompt Injection）防禦","面對精心設計的提示詞注入，單一防禦（如黑名單或單純系統提示）極易被繞過，必須採用多層防禦架構，整合輸入驗證、輸出監控與最小權限控管。"
"29","B","擴散模型（Diffusion Model）影片生成機制","現行主流文字生成影片模型（如 Sora 架構等）的核心機制，確認是由隨機的靜態噪聲（Noise）開始，透過多步驟逐步去除噪聲來生成連續的影像序列。"
"30","A","強化學習（RL）在 RAG 系統的作用","在 RAG 流程中引入強化學習，主要目的是依據律師（使用者）的真實反饋作為獎勵訊號（Reward Signal），進一步優化系統判斷檢索結果品質的能力。"
"31","A","影像與文字生成工具組合","在不自行開發的前提下，Midjourney 專長於生成大量高品質影像，而 ChatGPT 適合產出結構完整的技術文件，為最佳的互補工具組合。"
"32","C","AI 程式設計助理的角色定位","雖然工具能依上下文提供智慧化建議，但它不保證完全正確，生成的內容仍必須經過人類開發者的審查、重構與測試後才能採用。"
"33","C","少樣本提示（Few-Shot）","工程師在提示詞中手動附上固定的三組已批改範例讓模型參考，這種提供少數具體示例來引導模型表現的技術即為少樣本提示。"
"34","B","Few-Shot 提示與微調的差異","少樣本提示無需重新訓練模型；而少樣本微調（Few-shot Fine-tuning）會調整模型參數，在資料量極少時容易面臨過擬合（Overfitting）的風險。"
"35","A","多代理系統（Multi-Agent）不一致性","當 Agent A 局部更新資訊而 Agent B 未同步時，根本成因是各 Agent 之間缺乏有效的上下文（Context）同步機制，導致各自持有不一致的決策狀態。"
"36","A","AI Agent 任務拆解元件","當接收到複雜的配送目標時，在 Agentic 架構中專門負責將大目標拆解、規劃多步驟任務與決策路徑的核心元件是任務規劃器（Task Planner）。"
"37","A","函數呼叫（Function Calling）機制","系統將人類的自然語言理解後，轉換為具備特定語法與結構的參數，進而呼叫外部 API 來執行下單動作，此機制稱為函數呼叫。"
