"題號","官方答案","題目核心觀念","正確原因分析"
"1","D","資料整合的主要目的","資料整合（Data Integration）的核心目的在於統一格式、消除重複並整併多來源資料以確保分析一致性。而『依資料保存政策延長留存期限』屬於資料治理與法規合規範疇，不屬於資料整合的主要技術目的。"
"2","D","物聯網環境數據蒐集技術","系統需要持續、即時地從城市各個角落蒐集空氣品質、氣體濃度與設備滿溢度等環境物理數據，這最直接依賴由大量感測器節點組成的感知器網路（Sensor Network）技術。"
"3","D","非監督式學習的典型特徵辨析","非監督式學習（Unsupervised Learning）的核心特徵是訓練過程中不需仰賴任何事先定義的標籤資料，而是自動學習資料的內在特徵分布或隱含模式。而『學習特徵與既定目標標記間的對應關係』是監督式學習的特徵。"
"4","C","常態分布下的離群值處理","處理理賠資料的極端高額案件時，可採用統計準則評估、截尾處理或結合領域知識評估。但 One-hot 編碼是將無序類別特徵轉換為數值格式的技術，極端值仍是數值，不適合用 One-hot 編碼來改善數值穩定性。"
"5","B","SMOTE 技術的核心機制","SMOTE（Synthetic Minority Over-sampling Technique）是一種專門解決資料類別失衡的技術，其主要功能是依據少數類別樣本在特徵空間中的鄰近點，透過插值法合成產生全新且具代表性的少數類別樣本。"
"6","C","避免資料洩漏的標準化作法","為確保模型評估的真實性並嚴防資料洩漏（Data Leakage），必須先分割訓練集與測試集，且僅以訓練集計算均值與標準差等統計量，再將這組統計量一併套用至訓練集與測試集的標準化流程中。"
"7","C","無序類別特徵的數值轉換","對於『資費方案類型』與『客戶地區』這種彼此獨立、不具大小或先後順序關係的無序類別型特徵，最直接且通用的轉換方式就是採用 One-hot 編碼（One-hot Encoding）將其轉換為模型可處理的數值格式。"
"8","D","寬深模型 (Wide & Deep) 適用情境","寬深模型（Wide and Deep）結合了 Wide 組件（擅長記住歷史大量稀疏特徵的交叉組合規律）與 Deep 組件（擅長透過嵌入向量泛化預測未出現的特徵組合），最適合處理同時包含大量稀疏類別與數值型特徵的推薦情境。"
"9","A","多元分類模型輸出層函數","影音串流平台需要預測使用者對多種影片類型的感興趣機率，輸出層必須將各節點的得分轉換為總和為 1、符合機率分佈的各類別機率，此時最適合使用 Softmax 函數（Softmax Function）。"
"10","A","變分自編碼器的生成應用","設計公司希望依據既有圖像資料來產生具有變化、風格一致且全新未出現過的新草圖，模型必須具備學習資料隱含特徵分布並生成新樣本的能力，在選項中隱變量自編碼器（VAE）最符合此生成需求。"
"11","B","AI 摘要評估系統的核心目標","額外建置的 AI 評估系統主要是為了進行品質控管，因此其核心任務在於比對原文，精準判斷生成的摘要是否遺漏關鍵資訊或出現語意錯誤與幻覺。"
"12","B","對話型生成式 AI 的技術底座","ChatGPT、Gemini 等具備強大對話與文本生成能力的工具，其底層最核心且直接依賴的基礎模型技術是大型語言模型（Large Language Model, LLM）。"
"13","A","金融 AI 資訊揭露規範","依據金融機構作業規範，與消費者互動時必須揭露用途範圍、自動化性質及替代方案。但 AI 模型的原始程式碼涉及商業機密與資安風險，並非必要揭露之資訊。"
"14","B","智慧製造的 AI 應用定義","在工業與產線環境中，利用 AI 分析感測器數據來進行設備故障預測與預防性維護（Predictive Maintenance），是最典型且搭配恰當的智慧製造應用。"
"15","A","結構化數據的定義與範例","結構化數據具有固定的綱要、欄位格式與明確的關聯性。儲存在 MySQL 等關係型資料庫中的訂單記錄就是最標準的結構化數據範例。"
"16","C","百分位數的統計學定義","百分位數（Percentile）將資料由小到大排序並等分，主要用於衡量個別數據在整體分布中的相對位置（如 PR 值），對極端值不敏感且適合描述分布。"
"17","A","直方圖的連續型數據區間應用","直方圖（Histogram）最適合用來檢視單一連續型數值變數（如年齡、金額）在不同組距/區間內的資料頻率分布與集中、偏態情形。"
"18","B","二分搜尋法（Binary Search）計算","排序陣列有 9 筆，搜尋目標 27。第 1 次與中位數 21 比較（大於 21，鎖定右半）；第 2 次與剩餘右半中位數 33 比較（小於 33，鎖定左半）；第 3 次與 27 比較，精確命中。最多比較 3 次。"
"19","A","強化學習的策略函數調整","強化式學習（RL）的核心機制在於代理人透過與環境互動獲得獎勵，並據此動態調整其策略函數（Policy Function），以改變不同狀態下採取各行動的機率，引導模型收斂。"
"20","B","資料增強（Data Augmentation）防禦過擬合","模型在訓練集準確度極高（98%）但在測試集表現差（72%），屬於典型的過擬合（Overfitting）。透過對訓練影像進行旋轉、翻轉等隨機變化（資料增強），能有效增加資料多樣性並提升泛化能力。"
"21","D","擴存模型與服裝草圖生成","擴散模型（Diffusion Model）在影像生成領域中，以其卓越的視覺生成品質、細節穩定度以及對隨機噪聲和提示詞權重的多樣性控制能力著稱，最適合自動產生服裝草圖的需求。"
"22","C","非監督式異常偵測的 VAE 應用","在缺乏完整異常標註資料的情境下，最適合採用變分自編碼器（VAE）僅對正常資料進行訓練，學習正常運作型態的資料分佈。上線後即可透過重建誤差（Reconstruction Error）來辨識顯著不同的異常狀態並發出預警。"
"23","B","即時推論與批次推論的特性對比","批次推論適用於延遲容忍度高、處理規模巨大的任務，核心目標是最佳化系統吞吐量；而即時推論則直接面向用戶請求，高度要求低延遲、高穩定性的即時回應體驗。"
"24","D","RLHF 客製化行為調整與典型活動","RLHF 的核心活動包含人工建立偏好資料、訓練獎勵模型、以及調整策略函數（如 PPO）以符合人類偏好。而『以未標註語料進行長週期表示學習』是模型在預訓練階段（Pre-training）的典型任務，非 RLHF 階段活動。"
"25","A","請求批次處理（Batching）的效能影響","在 LLM 推論服務中，將多個請求打包為 Batch 一併處理，能大幅提升加速器（如 GPU）的並行計算資源使用效率，顯著增加系統整體吞吐量，但相對地可能會稍微增加單筆請求排隊與等待的延遲。"
"26","C","LIME 後處理模型解釋的分類","可解釋 AI 技術中，LIME 的運作原理不改變原模型架構，而是在原模型訓練完成後，從外部對其特定單一預測結果提供局部的可解釋報告，本質上屬於典型的後處理模型解釋（Post-hoc）技術。"
"27","C","SHAP 值的核心特徵定義","SHAP 值基於合作博弈論（Shapley Value），核心功能在於針對『單一筆預測結果』，將模型最終輸出的預測值與基準值之差，公平且精確地分配貢獻給各個輸入特徵欄位。"
"28","C","反事實解釋在授信決策的應用","反事實解釋（Counterfactual Explanation）透過探討『需要改變哪些輸入條件，才能使模型輸出改變為期望結果』。在金融授信中，最適合用來分析在模型不變下，客戶資料變動對決策（如從貸款拒絕變為通過）的直接影響。"
"29","B","顯著性圖（Saliency Map）的 NLP 用途","顯著性圖常利用梯度計算，標示出輸入資料中對單一預測結果影響程度最高（最敏感）的核心區域。在自然語言處理（NLP）合約風險審查中，即是用來精確標示出對結果影響程度較高的關鍵文字片段。"
"30","A","已知標籤的二元分類問題歸屬","銀行擁有過去 5 年已確認且明確標記為『異常（洗錢）』與『正常』的歷史交易紀錄。當系統需要自動識別全新交易是否為洗錢行為時，屬於最標準的監督式學習下的二元分類問題。"
"31","A","部分標註資料的半監督式學習","當資料集中僅有少部分樣本（30%）擁有病害類別標註，其餘大部分（70%）均無標籤時，為了充分利用所有資料並提升模型識別效果，最適合採用半監督式學習（Semi-supervised Learning）方法。"
"32","C","電腦視覺中的影像分割定義","影像分割（Image Segmentation）的核心任務，是在圖像中以『像素等級（Pixel-level）』精確標示出目標物件（如煙霧）的具體邊界與涵蓋範圍，而非僅僅使用方框進行物件偵測。"
"33","D","LSTM 對長序列記憶問題的改善","傳統 RNN 在處理長序列時容易遭遇梯度消失，難以保留早期資訊。長短期記憶網路（LSTM）透過內建的門控機制（輸入門、遺忘門、輸出門）與細胞狀態，能有效維持並保留長序列中的長期依賴關係。"
"34","C","AutoML 平台在快速上線的優勢","在企業內部嚴重缺乏 AI 專業開發人員，且同時需要針對大規模數據快速上線驗證防詐欺效果的情境下，直接使用去識別化資料並搭配雲端 AutoML 平台進行自動化模型訓練是最符合效益的方案。"
"35","C","符合個資規範的去識別化處理","市政府在釋出市民敏感用電資料供學術研究時，為了符合個人資料保護法的安全規範，最妥當且具實務價值的作法，是對具有高識別風險的欄位進行轉換處理，並徹底移除身分證、卡號等直接識別資訊。"
"36","A","弱 AI (Weak AI) 的能力範疇定義","現行的 AI 系統（如 PCB 電路板製程缺陷檢測系統）其模型設計與訓練目標皆侷限於高度特定、單一的應用範疇內，無法直接遷移或泛化至其他營運決策任務，此特徵屬於典型的弱 AI（Weak AI/Narrow AI）。"
"37","B","高吞吐量與低延遲的硬體配置","當面對每日資料量暴增（從 2GB 到 50GB）且必須在 3 秒內極短時間完成判定瑕疵的尖峰排程情境下，若系統出現延遲，首要且最直接的改善措施是強化即時資料處理流程並提升推論計算資源的配置。"
"38","B","電腦視覺在成熟度判斷的應用","果園管理公司透過攝影機捕捉並分析蘋果的外觀特徵（如顏色、斑點、大小）以自動判斷採收時機，這一類讓電腦模擬人類視覺進行圖像資訊解析與決策的技術，主要屬於電腦視覺（Computer Vision）領域。"
"39","D","非監督式學習在股價趨勢的搭配","在股價資料分析中，直接將歷史價格的變動模式劃分為若干趨勢型態，且整個過程中完全未使用到任何人工預先標註的標籤或目標答案，這與非監督式學習（Unsupervised Learning）的分群本質搭配最為恰當。"
"40","A","類別不平衡下的指標選擇","在產品瑕疵率極低的嚴重類別不平衡情境下，傳統準確率（Accuracy）會因多數正常品而虛高。若想有效衡量模型對少數瑕疵品的真實辨識能力，必須優先採用兼顧精準率與召回率的 F1-score 作為主要評估指標。"
"41","B","Flash Attention 的核心效益","Flash Attention 透過優化記憶體存取模式，將 Attention 計算切塊（Tiling）並減少在 GPU 顯存（HBM）與高速緩存（SRAM）之間的中間結果儲存讀寫需求，從而大幅提升運算速度與資源效率。"
"42","D","RAG 系統的增量更新設計","法遵系統面臨法規更新需要重新建立完整索引而導致暫停服務的問題時，最完美的解決方案是導入支援增量更新（Incremental Updating）的索引管理方式，使異動文件能即時反映在檢索結果中。"
"43","D","機器學習模式的錯誤辨析","敘述 2、3、4 錯誤：非監督式學習不需要預先定義正確輸出類別；半監督式學習會同時利用已標註與未標註資料；自監督式學習是利用資料本身特徵自主產生標籤，不需要人工逐筆提供標註。"
"44","A","對數轉換處理偏態與極端值","當金額特徵呈現高度偏態分布，且少數樣本的數值顯著高於多數觀測值（長尾分布）時，採用對數轉換（Log Transformation）能有效壓縮極端值的數值範圍，使其更接近常態分布以穩定模型學習。"
"45","C","啟動函數與梯度傳遞效率","訓練深層神經網路時若遇到訓練誤差長時間不下降、參數更新極小的學習停滯現象（梯度消失），最直接且適合的改善策略是調整模型中的啟動函數設定（如改用 ReLU 變體）以改善傳遞效率。"
"46","C","大數據特性的 Variety（多樣性）","城市治理平台需要同時整合交通車流數據（結構化）、路口監視器影像（非結構化）以及民眾陳情文字通報（非結構化），這種資料格式、儲存方式與型態差異甚大的特徵，最符合大數據的 Variety（多樣性）挑戰。"
"47","D","結構化預測的定義","結構化預測（Structured Prediction）是指模型的輸出並非單一的類別或數值，而是具有相互依賴關係的結構化對象（如序列、樹狀結構）。為語音轉換後的文字進行逐詞標註（序列標註）即符合此定義。"
"48","C","卷積神經網路的影像空間特徵應用","卷積神經網路（CNN）的核心優勢在於透過卷積核高效捕捉二維影像的局部空間特徵與幾何結構。根據倉庫監視器影像自動辨識貨架是否缺貨並標示空間位置，是最適合採用 CNN 的應用情境。"
"49","D","少樣本與預訓練優勢的遷移學習","在表面瑕疵檢測新專案中，面對標註樣本極為稀少且專家標註成本高昂的限制，最能利用公司既有技術優勢的做法是採用遷移學習（Transfer Learning），將既有成熟產品的預訓練模型權重遷移過來進行微調。"
"50","B","降低漏診風險的召回率指標","醫院在癌症篩檢時，非常重視盡量找出所有可能的癌症患者、絕對要降低漏診（假陰性）的風險，此時最能精確反映模型找出所有正樣本能力的評估指標是召回率（Recall）。"
