"題號","官方答案","題目核心觀念","正確原因分析"
"1","B","人在迴圈上 (Human-over-the-loop)","人在迴圈上強調人類對 AI 系統的運行進行日常、高層次的監督，雖然系統可自動執行，但人類在必要時能立即介入、修正或干預流程。"
"2","C","特徵交叉 (Feature Cross)","特徵交叉是指將兩個或多個欄位（如『星期幾』與『時間』）進行組合，形成新的交叉特徵，這最適合用來捕捉變數間的非線性協同關係以預測通勤時間。"
"3","D","ETL 的流程與定義","ETL 代表資料的萃取（Extract）、轉換（Transform）與載入（Load）。其中『T（轉換）』包含了資料的清理、格式轉換、排序與結構化處理。"
"4","C","L1 與 L2 正則化方法","L1 正則化（Lasso）是透過在損失函數中加入權重絕對值的總和（L1 範數）作為懲罰項，藉此控制模型複雜度並促使不重要的特徵權重歸零。"
"5","D","偏差與變異權衡 (Bias-Variance)","偏差與變異權衡是機器學習的核心議題，旨在尋找兩者之間的最佳平衡點，以有效避免模型陷入欠擬合（高偏差）或過度擬合（高變異）的困境。"
"6","C","Lasso 與稀疏解成因","Lasso 模型使用的 L1 正則化在幾何特性上具有不平滑的拐點，對大係數的懲罰力度極強，因而會將不重要的特徵係數直接驅動至零，產生稀疏解。"
"7","B","貝氏分類器的生成模型特性","單純貝氏分類器屬於生成式模型（Generative Model），其核心原理是透過學習與建構資料的整體聯合機率分布，再利用條件機率關係進行推斷與分類。"
"8","B","條件語言模型與語境一致性","為了讓生成式 AI 的回覆能夠根據給定的上下文、提示詞或前文維持高度的一致性與相關性，系統必須結合條件語言模型（Conditional Language Model）技術。"
"9","B","監理沙盒 (Regulatory Sandbox)","行政院通過之《人工智慧基本法》草案中，推動 AI『創新實驗環境』的制度，即是參考歐盟與國際間行之有年的監理沙盒（Regulatory Sandbox）機制。"
"10","C","金融機構 AI 作業規範治理","依據《金融機構運用人工智慧技術作業規範》，治理措施包含人才培育、了解生成式 AI 架構及高階主管監督，但並未強制明訂必須『每日公布系統運作狀況』。"
